Cuisine 1,Cuisine 2,Item_count,item
indian,greek,10,tropical fruit pip fruit grapes root vegetables herbs yogurt baking powder seasonal products potted plants shopping bags
mexican,british,5,whipped/sour cream cream cheese bottled water canned beer shopping bags
italian,vietnamese,10,berries root vegetables other vegetables butter hard cheese domestic eggs rolls/buns fruit/vegetable juice sparkling wine hygiene articles
british,russian,6,berries dessert whipped/sour cream white bread coffee shopping bags
chinese,mexican,2,rolls/buns long life bakery product
french,italian,2,ice cream long life bakery product
italian,french,3,coffee fruit/vegetable juice dishes
italian,indian,4,whole milk butter pasta misc. beverages
indian,southern_us,1,whole milk
greek,southern_us,4,citrus fruit berries butter milk yogurt
mexican,french,18,beef grapes nuts/prunes root vegetables onions other vegetables cream soft cheese sliced cheese hard cheese domestic eggs rolls/buns pastry mustard specialty chocolate specialty bar dental care shopping bags
italian,indian,7,pork citrus fruit grapes root vegetables whole milk ready soups potted plants
italian,vietnamese,12,turkey tropical fruit pip fruit root vegetables other vegetables curd butter milk yogurt curd cheese rice vinegar margarine
southern_us,none,2,margarine newspapers
indian,british,2,butter milk yogurt
french,russian,13,beef tropical fruit onions other vegetables whole milk butter curd butter milk yogurt domestic eggs white bread pastry shopping bags
italian,indian,1,bottled water
chinese,brazilian,5,pip fruit whole milk domestic eggs bottled water long life bakery product
indian,japanese,2,whole milk rice
italian,southern_us,1,chocolate
chinese,southern_us,5,frankfurter chicken butter milk margarine long life bakery product
indian,southern_us,2,whole milk white bread
southern_us,british,4,sausage root vegetables domestic eggs dish cleaner
italian,french,4,grapes zwieback soda waffles
italian,filipino,1,brown bread
italian,none,8,root vegetables other vegetables cream cheese pasta oil margarine salty snack potted plants
indian,filipino,2,UHT-milk bottled water
filipino,spanish,1,onions
southern_us,italian,5,beef bottled water misc. beverages specialty chocolate shopping bags
indian,southern_us,4,pork whole milk rolls/buns bottled beer
italian,french,4,canned beer specialty chocolate candy shopping bags
southern_us,italian,2,yogurt margarine
irish,southern_us,13,yogurt whipped/sour cream flour margarine sugar baking powder cat food soda fruit/vegetable juice chocolate hygiene articles napkins newspapers
italian,southern_us,8,pip fruit curd dessert yogurt specialty chocolate specialty bar newspapers shopping bags
indian,mexican,5,meat chicken root vegetables whole milk oil
italian,french,3,coffee misc. beverages bottled beer
italian,indian,1,bottled water
british,irish,2,bottled beer liquor
indian,italian,6,sausage whole milk whipped/sour cream pasta pet care fruit/vegetable juice
southern_us,moroccan,1,shopping bags
french,italian,7,pork herbs other vegetables yogurt domestic eggs specialty bar dishes
french,chinese,4,frankfurter other vegetables specialty cheese chewing gum
french,italian,1,ice cream
mexican,southern_us,5,root vegetables other vegetables spread cheese margarine canned beer
mexican,italian,10,sausage tropical fruit grapes other vegetables processed cheese frozen meals domestic eggs white bread salty snack newspapers
italian,british,15,sausage citrus fruit pip fruit root vegetables other vegetables whole milk yogurt whipped/sour cream spread cheese frozen vegetables pastry instant coffee soda fruit/vegetable juice hygiene articles
vietnamese,indian,1,root vegetables
mexican,french,1,canned vegetables
british,russian,6,tropical fruit whole milk white bread brown bread misc. beverages bottled beer
italian,indian,10,grapes yogurt UHT-milk soft cheese rolls/buns fruit/vegetable juice candy dental care newspapers shopping bags
indian,french,2,whole milk pastry
indian,filipino,9,frankfurter whole milk yogurt domestic eggs brown bread margarine fruit/vegetable juice canned beer shopping bags
southern_us,irish,3,dessert bottled water soda
southern_us,moroccan,1,shopping bags
southern_us,italian,3,butter rolls/buns salt
southern_us,french,14,frankfurter ham chicken whole milk butter processed cheese frozen vegetables white bread pastry soda fruit/vegetable juice red/blush wine chocolate potted plants
southern_us,italian,4,pork ice cream soda cake bar
indian,chinese,5,whole milk rolls/buns roll products zwieback bottled beer
italian,filipino,1,brown bread
thai,vietnamese,3,frozen fish canned beer red/blush wine
irish,southern_us,2,soda misc. beverages
indian,southern_us,2,whole milk frozen vegetables
mexican,italian,14,pork hamburger meat pip fruit grapes root vegetables other vegetables whole milk yogurt cream cheese frozen dessert sugar meat spreads soda fruit/vegetable juice
russian,french,1,whipped/sour cream
italian,french,11,frankfurter pip fruit root vegetables curd yogurt UHT-milk white bread pastry instant coffee waffles dish cleaner
indian,italian,6,grapes other vegetables whole milk butter toilet cleaner newspapers
mexican,russian,13,sausage grapes butter curd yogurt whipped/sour cream beverages UHT-milk sliced cheese processed cheese rolls/buns pastry chocolate
southern_us,french,5,citrus fruit white bread liquor specialty bar shopping bags
italian,french,8,ham butter yogurt hard cheese ice cream domestic eggs misc. beverages fruit/vegetable juice
southern_us,chinese,1,chewing gum
mexican,french,1,beef
italian,mexican,14,beef tropical fruit pip fruit grapes root vegetables processed cheese rolls/buns white bread pastry pasta specialty vegetables cat food soda misc. beverages
indian,chinese,7,other vegetables whole milk yogurt specialty cheese cereals bottled beer long life bakery product
french,italian,10,frankfurter sausage ham other vegetables domestic eggs rolls/buns pastry long life bakery product specialty bar chocolate marshmallow
vietnamese,thai,1,canned fish
southern_us,italian,8,sausage other vegetables whole milk sliced cheese white bread baking powder pickled vegetables rum
mexican,chinese,6,bottled water soda fruit/vegetable juice long life bakery product chewing gum candy
italian,mexican,1,specialty cheese
southern_us,irish,2,bottled water soda
southern_us,chinese,3,bottled water soda chewing gum
southern_us,irish,15,chicken beef whole milk curd brown bread pastry sauces pickled vegetables bottled water soda salty snack waffles specialty bar napkins light bulbs
southern_us,french,11,frankfurter tropical fruit dessert pastry flour margarine sugar artif. sweetener sauces rum skin care
indian,mexican,21,chicken citrus fruit root vegetables other vegetables whole milk yogurt hard cheese processed cheese mayonnaise frozen vegetables pastry roll products rice margarine sugar pickled vegetables bottled water fruit/vegetable juice candy skin care napkins
brazilian,southern_us,18,chicken tropical fruit whole milk condensed milk soft cheese processed cheese domestic eggs white bread pastry semi-finished bread soda long life bakery product waffles specialty chocolate napkins dishes kitchen towels shopping bags
southern_us,mexican,6,butter rolls/buns pastry bottled water canned beer waffles
indian,japanese,6,citrus fruit root vegetables dessert yogurt UHT-milk brown bread
french,russian,3,whipped/sour cream beverages liquor (appetizer)
southern_us,italian,3,frankfurter turkey citrus fruit
french,irish,11,beef citrus fruit other vegetables whole milk domestic eggs rolls/buns brown bread coffee soda salty snack shopping bags
italian,french,4,chicken other vegetables white wine specialty chocolate
russian,italian,26,sausage finished products tropical fruit pip fruit other vegetables butter curd dessert butter milk yogurt whipped/sour cream soft cheese frozen vegetables rolls/buns white bread brown bread pastry pasta soups baby food fruit/vegetable juice salty snack waffles cake bar chocolate shopping bags
indian,british,7,citrus fruit whole milk butter dessert UHT-milk flower (seeds) shopping bags
italian,french,3,ice cream coffee waffles
italian,southern_us,1,specialty chocolate
indian,greek,13,frankfurter herbs yogurt UHT-milk mayonnaise frozen vegetables margarine bottled water soda salty snack seasonal products detergent potted plants
southern_us,filipino,1,pork
italian,brazilian,4,UHT-milk vinegar waffles chocolate
irish,french,8,UHT-milk domestic eggs brown bread coffee soda canned beer liquor (appetizer) newspapers
mexican,chinese,1,cookware
british,mexican,5,citrus fruit butter UHT-milk margarine bottled beer
russian,italian,11,sausage hamburger meat tropical fruit onions other vegetables butter yogurt white bread brown bread margarine cat food
italian,british,9,frankfurter root vegetables other vegetables domestic eggs rolls/buns pastry soups Instant food products bottled water
southern_us,italian,7,citrus fruit yogurt UHT-milk cream cheese dish cleaner house keeping products shopping bags
southern_us,irish,11,ham whole milk processed cheese white bread semi-finished bread bottled water soda fruit/vegetable juice popcorn chewing gum shopping bags
italian,french,8,ham chicken citrus fruit pip fruit herbs other vegetables butter napkins
mexican,italian,2,bottled water canned beer
chinese,cajun_creole,2,popcorn candy
italian,russian,6,tropical fruit pip fruit other vegetables cream cheese soda bottled beer
french,british,10,frankfurter sausage UHT-milk frozen meals frozen dessert domestic eggs rolls/buns pastry mustard coffee
italian,brazilian,7,hamburger meat citrus fruit packaged fruit/vegetables rolls/buns vinegar cocoa drinks specialty chocolate
southern_us,italian,2,soda candy
moroccan,french,6,sausage root vegetables rolls/buns bottled water white wine flower (seeds)
italian,vietnamese,7,yogurt sliced cheese frozen vegetables frozen meals pickled vegetables coffee instant coffee
brazilian,mexican,16,meat other vegetables whole milk yogurt soft cheese sliced cheese domestic eggs margarine cat food pet care coffee bottled beer red/blush wine dish cleaner napkins kitchen towels
french,italian,1,red/blush wine
french,vietnamese,2,UHT-milk instant coffee
italian,filipino,1,brown bread
southern_us,italian,1,semi-finished bread
indian,southern_us,4,whole milk soda misc. beverages shopping bags
southern_us,indian,3,cat food dish cleaner shopping bags
brazilian,southern_us,17,citrus fruit tropical fruit pip fruit grapes root vegetables other vegetables whole milk curd dessert whipped/sour cream UHT-milk frozen vegetables frozen meals bottled water fruit/vegetable juice specialty chocolate napkins
british,irish,9,citrus fruit other vegetables butter soda bottled beer canned beer waffles chocolate seasonal products
mexican,italian,7,meat other vegetables packaged fruit/vegetables cream cheese margarine bottled water salty snack
southern_us,italian,1,rolls/buns
mexican,french,5,root vegetables whipped/sour cream salt fruit/vegetable juice salty snack
russian,southern_us,6,tropical fruit other vegetables whole milk curd whipped/sour cream bottled beer
irish,southern_us,5,brown bread oil sugar soda bottled beer
southern_us,moroccan,1,shopping bags
french,italian,4,grapes brown bread bottled beer white wine
mexican,southern_us,6,ham tropical fruit cream cheese processed cheese white bread candy
french,indian,2,root vegetables skin care
southern_us,italian,5,ice cream misc. beverages canned beer napkins shopping bags
italian,spanish,5,tropical fruit other vegetables bottled water bottled beer napkins
southern_us,mexican,4,finished products other vegetables soda fruit/vegetable juice
mexican,french,1,dessert
french,italian,1,sparkling wine
greek,indian,4,other vegetables yogurt oil dental care
mexican,chinese,1,misc. beverages
indian,chinese,2,other vegetables nut snack
mexican,chinese,1,misc. beverages
southern_us,greek,6,dessert yogurt UHT-milk soda canned beer light bulbs
mexican,italian,7,frankfurter tropical fruit cream cheese rolls/buns fruit/vegetable juice kitchen towels newspapers
greek,italian,10,sausage citrus fruit pip fruit yogurt beverages sliced cheese sugar bottled water soda cake bar
southern_us,russian,7,meat citrus fruit root vegetables other vegetables whipped/sour cream semi-finished bread salty snack
moroccan,irish,7,sausage yogurt pastry margarine soda bottled beer flower (seeds)
filipino,spanish,1,onions
russian,french,15,beef citrus fruit onions herbs other vegetables whole milk yogurt whipped/sour cream specialty cheese brown bread canned vegetables bottled water dish cleaner abrasive cleaner hygiene articles
southern_us,russian,9,pip fruit other vegetables butter yogurt whipped/sour cream brown bread pastry fruit/vegetable juice detergent
mexican,italian,11,ham hamburger meat onions other vegetables processed cheese frozen vegetables domestic eggs rolls/buns white bread cookware shopping bags
indian,greek,2,yogurt newspapers
italian,french,5,citrus fruit grapes curd bottled water waffles
vietnamese,italian,2,other vegetables sugar
chinese,mexican,4,pork frozen meals frozen fish shopping bags
mexican,indian,1,bathroom cleaner
italian,southern_us,8,ham grapes spread cheese ice cream frozen potato products white bread oil pudding powder
italian,french,9,grapes specialty cheese pasta coffee bottled water soda canned beer brandy white wine
french,southern_us,1,pastry
italian,mexican,4,citrus fruit bottled water red/blush wine photo/film
indian,southern_us,1,photo/film
southern_us,russian,2,dessert white bread
southern_us,italian,4,citrus fruit tropical fruit pip fruit long life bakery product
irish,southern_us,1,soda
southern_us,chinese,1,chewing gum
italian,southern_us,4,root vegetables sliced cheese soda bottled beer
southern_us,mexican,2,pork other vegetables
indian,mexican,4,turkey whole milk UHT-milk fruit/vegetable juice
southern_us,italian,5,tropical fruit other vegetables soda candy shopping bags
french,cajun_creole,11,sausage other vegetables pasta oil margarine coffee syrup canned beer napkins light bulbs shopping bags
mexican,southern_us,9,sausage meat other vegetables brown bread canned fish bottled water canned beer liquor (appetizer) shopping bags
chinese,greek,14,pork tropical fruit other vegetables dessert yogurt roll products flour rice coffee bottled water soda fruit/vegetable juice canned beer salty snack
italian,southern_us,6,sausage citrus fruit pip fruit mayonnaise brown bread shopping bags
italian,french,3,grapes chocolate light bulbs
french,italian,5,grapes pastry salty snack light bulbs shopping bags
mexican,southern_us,6,other vegetables yogurt processed cheese ketchup bottled water male cosmetics
mexican,italian,1,potted plants
italian,indian,2,bottled water potted plants
italian,french,3,prosecco hygiene articles potted plants
southern_us,irish,4,UHT-milk soda dish cleaner napkins
french,southern_us,5,bottled water soda chewing gum specialty chocolate candy
mexican,vietnamese,3,rolls/buns canned fish canned beer
italian,southern_us,1,specialty chocolate
russian,british,10,beef other vegetables butter milk yogurt whipped/sour cream cream cheese white bread fruit/vegetable juice bottled beer chocolate
italian,mexican,3,tropical fruit pasta bottled water
italian,indian,7,beef root vegetables other vegetables butter yogurt rolls/buns flour
french,italian,2,rolls/buns white wine
chinese,british,5,berries root vegetables whipped/sour cream roll products bottled beer
mexican,italian,8,sausage hamburger meat whole milk rolls/buns oil pickled vegetables softener hygiene articles
russian,southern_us,6,chicken pork beef whole milk curd whipped/sour cream
mexican,indian,10,sausage citrus fruit whole milk cream cheese processed cheese frozen vegetables rolls/buns pastry fruit/vegetable juice chewing gum
southern_us,moroccan,1,shopping bags
mexican,french,1,canned beer
mexican,irish,2,soda canned beer
indian,greek,3,yogurt UHT-milk rolls/buns
italian,french,3,rolls/buns red/blush wine newspapers
italian,cajun_creole,2,rolls/buns coffee
indian,russian,2,whole milk brown bread
russian,mexican,15,citrus fruit root vegetables other vegetables whole milk curd yogurt whipped/sour cream hard cheese cream cheese domestic eggs flour rice oil margarine sugar
italian,indian,6,citrus fruit tropical fruit grapes whole milk brown bread pastry
italian,southern_us,2,brown bread chocolate
russian,french,9,tropical fruit other vegetables whipped/sour cream UHT-milk frozen vegetables oil margarine fruit/vegetable juice kitchen towels
southern_us,british,12,frankfurter tropical fruit butter whipped/sour cream frozen vegetables rolls/buns sugar baking powder bottled water misc. beverages long life bakery product newspapers
italian,french,1,coffee
southern_us,russian,4,ham rolls/buns bottled beer chewing gum
vietnamese,chinese,5,other vegetables curd yogurt pickled vegetables bottled water
indian,russian,5,sausage whole milk curd butter milk whipped/sour cream
indian,irish,6,pork whole milk margarine soda canned beer newspapers
french,russian,5,citrus fruit yogurt whipped/sour cream soda cookware
french,indian,5,tropical fruit whole milk domestic eggs pastry hygiene articles
mexican,italian,3,other vegetables yogurt cream cheese
italian,french,6,pork whole milk sugar soda long life bakery product chocolate
irish,southern_us,16,chicken pork pip fruit other vegetables whole milk tidbits frozen fish rolls/buns margarine baking powder soda bottled beer white wine waffles chocolate candy
indian,russian,5,root vegetables whole milk yogurt rolls/buns potted plants
southern_us,italian,4,citrus fruit cake bar baby cosmetics shopping bags
mexican,southern_us,1,fruit/vegetable juice
indian,brazilian,5,beef tropical fruit whole milk ice cream cat food
italian,mexican,32,frankfurter sausage liver loaf ham chicken beef citrus fruit tropical fruit root vegetables other vegetables whole milk butter curd yogurt whipped/sour cream beverages soft cheese hard cheese cream cheese mayonnaise domestic eggs rolls/buns roll products flour pasta margarine specialty fat sugar soups skin care hygiene articles
irish,greek,12,frankfurter pip fruit other vegetables yogurt spread cheese rolls/buns white bread pastry coffee soda waffles hygiene articles
mexican,irish,9,beef hamburger meat other vegetables rolls/buns brown bread bottled water soda bottled beer canned beer
french,russian,15,ham pork hamburger meat pip fruit other vegetables whole milk butter curd dessert butter milk whipped/sour cream domestic eggs brown bread roll products hygiene articles
southern_us,moroccan,1,shopping bags
southern_us,filipino,10,pork root vegetables other vegetables specialty fat sugar baking powder cat food salty snack waffles shopping bags
brazilian,filipino,5,condensed milk bottled water misc. beverages bottled beer bathroom cleaner
italian,mexican,4,chicken bottled beer red/blush wine newspapers
southern_us,italian,5,sausage meat butter domestic eggs cat food
mexican,british,2,bottled beer potted plants
french,italian,9,chicken pork grapes other vegetables domestic eggs rolls/buns pastry soda specialty bar
russian,irish,8,finished products other vegetables whole milk whipped/sour cream margarine cereals soda salty snack
indian,southern_us,19,pork beef citrus fruit berries root vegetables other vegetables whole milk yogurt cream cheese vinegar oil cat food specialty chocolate detergent dish cleaner abrasive cleaner cleaner hygiene articles shopping bags
irish,indian,4,root vegetables whole milk yogurt frozen potato products
southern_us,chinese,3,domestic eggs seasonal products shopping bags
southern_us,french,4,domestic eggs specialty bar seasonal products shopping bags
southern_us,irish,2,bottled water soda
southern_us,moroccan,1,cling film/bags
southern_us,mexican,7,other vegetables rolls/buns bottled water fruit/vegetable juice canned beer whisky shopping bags
indian,southern_us,1,whole milk
russian,british,12,sausage meat pork whole milk butter whipped/sour cream frozen vegetables frozen dessert white bread brown bread pastry coffee
cajun_creole,southern_us,5,sausage mayonnaise rolls/buns canned beer shopping bags
italian,mexican,4,tropical fruit sliced cheese domestic eggs zwieback
southern_us,indian,10,frankfurter beef tropical fruit pip fruit butter yogurt dog food long life bakery product cookware newspapers
irish,italian,2,frozen potato products potted plants
italian,irish,4,frankfurter sausage packaged fruit/vegetables soda
italian,filipino,3,frankfurter other vegetables zwieback
french,indian,13,chicken tropical fruit pip fruit root vegetables herbs other vegetables dessert yogurt whipped/sour cream beverages brown bread cat food shopping bags
indian,moroccan,7,tropical fruit pip fruit other vegetables whole milk napkins dishes flower (seeds)
mexican,british,1,bottled beer
french,cajun_creole,6,citrus fruit grapes rolls/buns pastry coffee soda
british,french,9,hamburger meat pip fruit whole milk curd beverages brandy male cosmetics cookware shopping bags
southern_us,mexican,6,chicken berries mayonnaise frozen vegetables salty snack newspapers
southern_us,filipino,1,pork
southern_us,italian,1,rolls/buns
italian,indian,1,bottled water
mexican,southern_us,11,sausage tropical fruit whole milk yogurt processed cheese pastry margarine Instant food products coffee popcorn house keeping products
irish,southern_us,3,frozen potato products bottled water soda
southern_us,russian,12,frankfurter whole milk whipped/sour cream curd cheese domestic eggs margarine baking powder cat food bottled water canned beer candy napkins
southern_us,italian,18,sausage root vegetables other vegetables whole milk butter whipped/sour cream processed cheese sugar baking powder jam coffee bottled water soda fruit/vegetable juice salty snack long life bakery product candy napkins
southern_us,mexican,4,tropical fruit dessert sweet spreads fruit/vegetable juice
mexican,british,1,bottled beer
mexican,british,1,bottled beer
italian,southern_us,2,rolls/buns brown bread
vietnamese,indian,4,citrus fruit tropical fruit whole milk coffee
indian,greek,2,yogurt softener
indian,southern_us,17,turkey pork beef hamburger meat tropical fruit root vegetables onions other vegetables whole milk butter butter milk yogurt rolls/buns oil fruit/vegetable juice waffles candy
irish,southern_us,2,soda softener
mexican,french,1,canned beer
mexican,french,1,canned beer
indian,british,3,sausage other vegetables whole milk
russian,british,10,pork root vegetables whole milk curd whipped/sour cream rolls/buns white bread canned vegetables soda cleaner
italian,southern_us,1,Instant food products
indian,southern_us,10,frankfurter sausage tropical fruit whole milk yogurt pastry sugar bottled water soda fruit/vegetable juice
chinese,mexican,3,oil dental care newspapers
italian,mexican,5,chicken hamburger meat other vegetables rolls/buns shopping bags
italian,chinese,5,beef domestic eggs rolls/buns flour candy
southern_us,french,8,dessert UHT-milk bottled water soda canned beer chewing gum softener shopping bags
southern_us,irish,6,pork citrus fruit other vegetables domestic eggs margarine canned beer
southern_us,british,5,curd whipped/sour cream flour baking powder newspapers
italian,french,2,chicken red/blush wine
russian,french,1,whipped/sour cream
french,russian,10,frankfurter ham root vegetables onions whole milk yogurt rolls/buns white bread brown bread margarine
british,french,7,frankfurter root vegetables rolls/buns pastry mustard bottled beer shopping bags
filipino,italian,5,liver loaf root vegetables pet care waffles chocolate
indian,vietnamese,7,pork root vegetables onions other vegetables whole milk napkins shopping bags
italian,filipino,9,frankfurter liver loaf turkey UHT-milk pasta waffles chocolate dental care dishes
indian,moroccan,10,pork citrus fruit root vegetables other vegetables whole milk butter soda dishes newspapers flower (seeds)
mexican,russian,14,pork tropical fruit root vegetables onions other vegetables whole milk butter whipped/sour cream soft cheese sliced cheese ice cream semi-finished bread soda newspapers
irish,southern_us,1,soda
irish,southern_us,5,root vegetables rolls/buns margarine soda bottled beer
french,southern_us,4,whipped/sour cream beverages fruit/vegetable juice chocolate
italian,southern_us,1,chocolate
indian,french,3,whole milk frozen vegetables specialty chocolate
indian,russian,6,pork beef whole milk curd rolls/buns pastry
italian,french,2,coffee shopping bags
southern_us,italian,2,rolls/buns waffles
italian,indian,9,citrus fruit other vegetables whole milk yogurt hard cheese specialty cheese rolls/buns flour cat food
italian,indian,4,citrus fruit yogurt brown bread pasta
italian,french,5,soda chocolate specialty chocolate newspapers shopping bags
mexican,italian,2,cream cheese rolls/buns
irish,southern_us,1,soda
french,british,4,chicken whipped/sour cream coffee shopping bags
filipino,thai,1,frozen fish
indian,southern_us,8,sausage meat chicken root vegetables other vegetables whole milk salt salty snack
jamaican,french,5,beef berries other vegetables white bread shopping bags
southern_us,none,11,ham whole milk hard cheese frozen meals rolls/buns rice soups baking powder canned vegetables bottled beer female sanitary products
russian,chinese,10,chicken pork root vegetables onions packaged fruit/vegetables butter hard cheese salt bottled water bottled beer
indian,british,9,herbs other vegetables whole milk butter white bread margarine misc. beverages hygiene articles shopping bags
italian,french,2,grapes root vegetables
indian,italian,5,tropical fruit pip fruit whole milk chewing gum chocolate
mexican,russian,13,frankfurter meat tropical fruit berries other vegetables whole milk whipped/sour cream domestic eggs margarine ketchup misc. beverages canned beer salty snack
italian,french,7,onions other vegetables rolls/buns salt chocolate specialty bar shopping bags
italian,mexican,11,sausage organic sausage citrus fruit berries yogurt whipped/sour cream domestic eggs rolls/buns canned vegetables salty snack newspapers
french,italian,7,citrus fruit other vegetables soft cheese rolls/buns pastry canned beer newspapers
mexican,southern_us,8,hamburger meat pastry soda canned beer detergent softener hygiene articles shopping bags
mexican,russian,13,frankfurter root vegetables other vegetables whole milk whipped/sour cream sliced cheese frozen meals frozen dessert flour sugar coffee cleaner shopping bags
brazilian,southern_us,2,sausage pork
indian,chinese,3,root vegetables other vegetables yogurt
chinese,southern_us,3,oil dish cleaner newspapers
mexican,french,1,canned beer
mexican,chinese,1,newspapers
indian,british,6,pip fruit root vegetables other vegetables whole milk chewing gum kitchen towels
italian,french,1,coffee
italian,mexican,2,red/blush wine specialty chocolate
mexican,southern_us,4,onions vinegar pet care specialty bar
french,italian,10,frankfurter berries other vegetables whole milk soft cheese domestic eggs rolls/buns brown bread pastry shopping bags
british,russian,11,meat beef tropical fruit pip fruit berries other vegetables whole milk white bread brown bread sugar detergent
indian,british,6,whole milk canned fish soda bottled beer hygiene articles candles
mexican,french,2,dessert dishes
southern_us,irish,3,hamburger meat baking powder sweet spreads
chinese,southern_us,3,chewing gum napkins dishes
italian,french,4,bottled water fruit/vegetable juice bottled beer prosecco
french,chinese,4,beverages pastry long life bakery product chocolate marshmallow
indian,greek,9,whole milk yogurt frozen meals sugar coffee bottled water fruit/vegetable juice bottled beer salty snack
french,british,14,citrus fruit pip fruit grapes other vegetables dessert butter milk yogurt domestic eggs flour oil sugar ketchup detergent dish cleaner
indian,southern_us,7,tropical fruit whole milk hard cheese rolls/buns cat food bottled water dish cleaner
southern_us,indian,2,cat food soda
indian,southern_us,4,whole milk beverages pastry soda
southern_us,mexican,2,soda fruit/vegetable juice
indian,greek,3,sausage yogurt salty snack
italian,southern_us,14,root vegetables whole milk butter yogurt whipped/sour cream soft cheese cream cheese domestic eggs brown bread jam misc. beverages fruit/vegetable juice napkins potted plants
greek,indian,6,berries other vegetables butter milk yogurt soda newspapers
italian,filipino,1,other vegetables
chinese,french,6,sausage pip fruit root vegetables bottled beer abrasive cleaner light bulbs
italian,indian,3,beverages bottled water misc. beverages
chinese,japanese,5,chicken root vegetables roll products vinegar shopping bags
indian,italian,3,whole milk yogurt chocolate
italian,southern_us,5,sausage hard cheese rolls/buns canned vegetables dog food
italian,irish,14,ham hamburger meat citrus fruit root vegetables onions other vegetables whole milk white bread brown bread sugar soda red/blush wine dishes shopping bags
indian,russian,2,whole milk brown bread
indian,russian,5,root vegetables onions whole milk bottled water dishes
irish,italian,2,citrus fruit frozen potato products
italian,french,17,frankfurter chicken butter dessert butter milk ice cream pastry oil margarine soda salty snack chocolate chocolate marshmallow detergent hygiene articles napkins potted plants
french,italian,3,ice cream salty snack waffles
french,southern_us,17,sausage ham meat chicken tropical fruit other vegetables whole milk butter yogurt cream cheese frozen vegetables domestic eggs rolls/buns brown bread semi-finished bread candy newspapers
mexican,chinese,4,root vegetables fruit/vegetable juice long life bakery product potted plants
french,southern_us,19,ham tropical fruit grapes onions other vegetables yogurt whipped/sour cream soft cheese sliced cheese frozen vegetables white bread pastry semi-finished bread oil cat food bottled water fruit/vegetable juice detergent house keeping products
italian,french,1,coffee
italian,french,5,citrus fruit frozen meals canned beer red/blush wine salty snack
mexican,italian,1,potted plants
italian,russian,2,other vegetables chocolate
indian,southern_us,3,whole milk white bread pastry
italian,southern_us,4,zwieback oil mustard chocolate
southern_us,french,6,chicken other vegetables whole milk domestic eggs pastry canned beer
indian,southern_us,3,butter yogurt dog food
chinese,mexican,12,ham dessert frozen meals frozen dessert white bread sweet spreads soda long life bakery product specialty bar hygiene articles newspapers shopping bags
indian,southern_us,5,whole milk butter milk soda chewing gum shopping bags
southern_us,irish,4,citrus fruit misc. beverages liquor cling film/bags
italian,southern_us,7,ham herbs other vegetables curd yogurt cream cheese light bulbs
mexican,french,1,canned beer
southern_us,irish,5,frankfurter packaged fruit/vegetables brown bread margarine waffles
southern_us,italian,4,chicken tropical fruit candy shopping bags
mexican,british,2,frankfurter bottled beer
mexican,british,1,bottled beer
italian,british,4,other vegetables cream cheese coffee dishes
irish,italian,1,frozen potato products
indian,southern_us,2,chicken whole milk
italian,none,11,sausage meat grapes other vegetables yogurt soft cheese domestic eggs rolls/buns margarine soda chocolate
mexican,french,1,canned beer
italian,southern_us,2,yogurt chocolate
mexican,italian,3,frozen meals pet care soda
mexican,korean,3,canned fruit meat spreads bottled water
italian,cajun_creole,3,butter waffles chocolate
southern_us,irish,5,yogurt pastry semi-finished bread soda shopping bags
indian,italian,4,citrus fruit whole milk soft cheese canned beer
mexican,vietnamese,2,meat yogurt
indian,italian,4,root vegetables butter frozen vegetables salty snack
indian,southern_us,7,frankfurter sausage whole milk butter dessert pastry fruit/vegetable juice
italian,british,12,tropical fruit other vegetables packaged fruit/vegetables whole milk frozen meals white bread instant coffee soda female sanitary products newspapers potted plants shopping bags
french,italian,3,yogurt sugar instant coffee
italian,chinese,4,root vegetables other vegetables white bread sparkling wine
greek,french,4,yogurt rolls/buns pastry soda
chinese,mexican,1,oil
italian,spanish,8,citrus fruit pip fruit grapes berries soft cheese rolls/buns oil shopping bags
southern_us,indian,10,beef root vegetables whole milk butter milk yogurt beverages cream cheese sweet spreads soda chocolate
brazilian,russian,12,citrus fruit onions other vegetables whole milk cream cheese domestic eggs sugar bottled water bottled beer long life bakery product seasonal products napkins
french,southern_us,2,dessert misc. beverages
british,italian,3,curd jam shopping bags
italian,indian,1,bottled water
italian,greek,4,sausage domestic eggs coffee soda
italian,french,1,herbs
southern_us,indian,4,dog food soda fruit/vegetable juice bottled beer
indian,southern_us,11,packaged fruit/vegetables whole milk pastry bottled water soda misc. beverages chewing gum specialty bar hygiene articles potted plants shopping bags
mexican,french,4,frankfurter pork specialty fat specialty bar
italian,mexican,10,finished products beef tropical fruit spread cheese rolls/buns waffles chocolate specialty chocolate hair spray shopping bags
chinese,mexican,1,oil
italian,chinese,1,curd
italian,french,2,herbs potted plants
italian,french,7,sausage other vegetables sliced cheese rolls/buns coffee soda shopping bags
southern_us,italian,3,whole milk sugar pudding powder
italian,cajun_creole,2,sausage waffles
irish,southern_us,1,soda
indian,british,4,whole milk bottled water soda canned beer
french,southern_us,9,root vegetables whole milk brown bread brandy detergent dish cleaner female sanitary products napkins shopping bags
mexican,french,1,sugar
mexican,italian,2,cream cheese dishes
chinese,italian,6,other vegetables misc. beverages long life bakery product chocolate candy shopping bags
brazilian,mexican,2,frozen fruits detergent
russian,french,1,whipped/sour cream
indian,greek,1,yogurt
russian,southern_us,5,pork beef other vegetables yogurt shopping bags
